SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2007223N19136,SEPAT,2007-08-17 15:00:00,22.3,122.5,143,110.0,941.0,170.0,145.0,143.0,158.0,13.0,6
2007223N19136,SEPAT,2007-08-17 18:00:00,22.7,122.0,75,105.0,944.0,190.0,145.0,145.0,165.0,15.0,5
2007223N19136,SEPAT,2007-08-17 21:00:00,23.1,121.6,20,103.0,946.0,203.0,168.0,135.0,175.0,18.0,5
2007223N19136,SEPAT,2007-08-18 00:00:00,23.6,121.0,0,100.0,948.0,215.0,190.0,125.0,185.0,20.0,5
2007223N19136,SEPAT,2007-08-18 03:00:00,23.8,120.4,0,93.0,954.0,205.0,175.0,143.0,190.0,20.0,5
2007223N19136,SEPAT,2007-08-18 06:00:00,24.0,119.9,40,85.0,959.0,195.0,160.0,160.0,195.0,20.0,4
2007223N19136,SEPAT,2007-08-18 09:00:00,24.2,119.6,74,80.0,963.0,153.0,125.0,123.0,145.0,30.0,4
2007223N19136,SEPAT,2007-08-18 12:00:00,24.4,119.5,82,75.0,967.0,110.0,90.0,85.0,95.0,40.0,4
2007223N19136,SEPAT,2007-08-18 15:00:00,24.6,119.3,52,70.0,971.0,120.0,103.0,88.0,90.0,48.0,4
2007223N19136,SEPAT,2007-08-18 18:00:00,24.8,119.0,10,65.0,974.0,130.0,115.0,90.0,85.0,55.0,4
2007223N19136,SEPAT,2007-08-18 21:00:00,25.1,118.7,0,60.0,978.0,130.0,115.0,90.0,85.0,58.0,4
2007223N19136,SEPAT,2007-08-19 00:00:00,25.2,118.5,0,55.0,982.0,130.0,115.0,90.0,85.0,60.0,2
2007223N19136,SEPAT,2007-08-19 03:00:00,25.4,118.4,0,50.0,986.0,130.0,115.0,90.0,85.0,,2
2007223N19136,SEPAT,2007-08-19 06:00:00,25.6,118.2,0,45.0,989.0,130.0,115.0,90.0,85.0,,2
2007223N19136,SEPAT,2007-08-19 09:00:00,25.8,118.0,0,40.0,993.0,130.0,115.0,90.0,85.0,,2
2007223N19136,SEPAT,2007-08-19 12:00:00,26.1,117.8,0,35.0,996.0,130.0,115.0,90.0,85.0,,1
