SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2011233N12129,NANMADOL,2011-08-25 15:00:00,16.5,124.3,196,110.0,941.0,110.0,110.0,110.0,110.0,18.0,5
2011233N12129,NANMADOL,2011-08-25 18:00:00,16.5,124.1,176,125.0,929.0,120.0,120.0,120.0,120.0,15.0,5
2011233N12129,NANMADOL,2011-08-25 21:00:00,16.5,124.0,165,130.0,926.0,130.0,130.0,130.0,130.0,15.0,5
2011233N12129,NANMADOL,2011-08-26 00:00:00,16.7,123.9,150,135.0,922.0,140.0,140.0,140.0,140.0,15.0,6
2011233N12129,NANMADOL,2011-08-26 03:00:00,17.0,123.8,138,138.0,920.0,143.0,138.0,128.0,130.0,15.0,6
2011233N12129,NANMADOL,2011-08-26 06:00:00,17.2,123.6,119,140.0,918.0,145.0,135.0,115.0,120.0,15.0,6
2011233N12129,NANMADOL,2011-08-26 09:00:00,17.4,123.5,115,140.0,918.0,145.0,135.0,115.0,120.0,15.0,6
2011233N12129,NANMADOL,2011-08-26 12:00:00,17.6,123.3,101,140.0,918.0,145.0,135.0,115.0,120.0,15.0,6
2011233N12129,NANMADOL,2011-08-26 15:00:00,17.8,123.0,84,140.0,918.0,133.0,128.0,108.0,120.0,15.0,6
2011233N12129,NANMADOL,2011-08-26 18:00:00,18.0,122.7,53,140.0,918.0,120.0,120.0,100.0,120.0,15.0,6
2011233N12129,NANMADOL,2011-08-26 21:00:00,18.0,122.6,43,133.0,924.0,115.0,115.0,95.0,115.0,30.0,6
2011233N12129,NANMADOL,2011-08-27 00:00:00,18.1,122.4,21,125.0,929.0,110.0,110.0,90.0,110.0,45.0,5
2011233N12129,NANMADOL,2011-08-27 03:00:00,18.4,122.2,0,123.0,931.0,125.0,125.0,110.0,125.0,38.0,5
2011233N12129,NANMADOL,2011-08-27 06:00:00,18.7,122.0,35,120.0,933.0,140.0,140.0,130.0,140.0,30.0,5
2011233N12129,NANMADOL,2011-08-27 09:00:00,19.0,121.8,70,115.0,937.0,140.0,140.0,130.0,140.0,30.0,5
2011233N12129,NANMADOL,2011-08-27 12:00:00,19.3,121.7,94,110.0,941.0,140.0,140.0,130.0,140.0,30.0,4
2011233N12129,NANMADOL,2011-08-27 15:00:00,19.4,121.5,101,105.0,945.0,140.0,140.0,130.0,140.0,30.0,4
2011233N12129,NANMADOL,2011-08-27 18:00:00,19.7,121.4,133,100.0,948.0,140.0,140.0,130.0,140.0,30.0,4
2011233N12129,NANMADOL,2011-08-27 21:00:00,20.0,121.4,165,93.0,954.0,125.0,135.0,120.0,125.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 00:00:00,20.4,121.4,175,85.0,959.0,110.0,130.0,110.0,110.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 03:00:00,20.7,121.3,140,85.0,959.0,110.0,130.0,110.0,110.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 06:00:00,21.0,121.2,105,85.0,959.0,110.0,130.0,110.0,110.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 09:00:00,21.3,121.1,70,80.0,963.0,110.0,130.0,110.0,110.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 12:00:00,21.6,121.1,39,75.0,967.0,110.0,130.0,110.0,110.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 15:00:00,21.8,121.0,15,73.0,969.0,100.0,135.0,125.0,100.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 18:00:00,22.1,121.0,10,70.0,970.0,90.0,140.0,140.0,90.0,30.0,4
2011233N12129,NANMADOL,2011-08-28 21:00:00,22.4,120.7,0,68.0,972.0,90.0,140.0,140.0,90.0,30.0,4
2011233N12129,NANMADOL,2011-08-29 00:00:00,22.8,120.5,0,65.0,974.0,90.0,140.0,140.0,90.0,30.0,3
2011233N12129,NANMADOL,2011-08-29 03:00:00,23.0,120.2,0,63.0,976.0,83.0,100.0,113.0,88.0,33.0,3
2011233N12129,NANMADOL,2011-08-29 06:00:00,23.2,120.0,10,60.0,978.0,75.0,60.0,85.0,85.0,35.0,3
2011233N12129,NANMADOL,2011-08-29 09:00:00,23.4,119.8,37,53.0,984.0,75.0,60.0,85.0,85.0,35.0,3
2011233N12129,NANMADOL,2011-08-29 12:00:00,23.6,119.7,40,45.0,989.0,75.0,60.0,85.0,85.0,35.0,3
2011233N12129,NANMADOL,2011-08-29 15:00:00,23.7,119.5,62,43.0,991.0,75.0,60.0,85.0,85.0,35.0,3
2011233N12129,NANMADOL,2011-08-29 18:00:00,23.8,119.4,74,40.0,993.0,75.0,60.0,85.0,85.0,35.0,2
2011233N12129,NANMADOL,2011-08-29 21:00:00,23.9,119.3,88,35.0,997.0,37.0,30.0,42.0,42.0,,2
