SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2010239N15118,LIONROCK,2010-08-31 15:00:00,21.1,119.3,170,50.0,985.0,65.0,65.0,68.0,58.0,20.0,3
2010239N15118,LIONROCK,2010-08-31 18:00:00,21.5,119.4,141,50.0,985.0,65.0,70.0,65.0,55.0,20.0,3
2010239N15118,LIONROCK,2010-08-31 21:00:00,21.9,119.5,106,50.0,985.0,65.0,83.0,70.0,60.0,23.0,3
2010239N15118,LIONROCK,2010-09-01 00:00:00,22.3,119.5,85,50.0,985.0,65.0,95.0,75.0,65.0,25.0,3
2010239N15118,LIONROCK,2010-09-01 03:00:00,22.6,119.4,85,53.0,984.0,65.0,90.0,80.0,60.0,25.0,3
2010239N15118,LIONROCK,2010-09-01 06:00:00,22.8,119.2,94,55.0,982.0,65.0,85.0,85.0,55.0,25.0,3
2010239N15118,LIONROCK,2010-09-01 09:00:00,23.0,119.0,113,55.0,982.0,63.0,80.0,80.0,55.0,25.0,3
2010239N15118,LIONROCK,2010-09-01 12:00:00,23.2,118.9,122,55.0,982.0,60.0,75.0,75.0,55.0,25.0,3
2010239N15118,LIONROCK,2010-09-01 15:00:00,23.3,118.6,105,53.0,984.0,63.0,68.0,68.0,60.0,25.0,3
2010239N15118,LIONROCK,2010-09-01 18:00:00,23.5,118.3,67,50.0,985.0,65.0,60.0,60.0,65.0,25.0,2
2010239N15118,LIONROCK,2010-09-01 21:00:00,23.7,117.9,24,48.0,987.0,65.0,60.0,53.0,58.0,25.0,2
2010239N15118,LIONROCK,2010-09-02 00:00:00,23.9,117.4,0,45.0,989.0,65.0,60.0,45.0,50.0,25.0,2
2010239N15118,LIONROCK,2010-09-02 03:00:00,24.1,116.8,0,43.0,991.0,65.0,60.0,45.0,50.0,,2
2010239N15118,LIONROCK,2010-09-02 06:00:00,24.2,116.2,0,40.0,993.0,65.0,60.0,45.0,50.0,,2
2010239N15118,LIONROCK,2010-09-02 09:00:00,24.2,115.6,0,38.0,995.0,65.0,60.0,45.0,50.0,,2
2010239N15118,LIONROCK,2010-09-02 12:00:00,24.1,115.1,0,35.0,996.0,65.0,60.0,45.0,50.0,,2
