SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2001248N23125,NARI,2001-09-15 15:00:00,25.7,123.7,187,78.0,965.0,100.0,100.0,95.0,95.0,23.0,4
2001248N23125,NARI,2001-09-15 18:00:00,25.6,123.5,164,80.0,963.0,100.0,100.0,90.0,90.0,25.0,4
2001248N23125,NARI,2001-09-15 21:00:00,25.6,123.3,146,85.0,959.0,105.0,105.0,95.0,95.0,28.0,4
2001248N23125,NARI,2001-09-16 00:00:00,25.5,123.1,123,90.0,954.0,110.0,110.0,100.0,100.0,30.0,4
2001248N23125,NARI,2001-09-16 03:00:00,25.5,122.8,97,90.0,954.0,110.0,110.0,100.0,100.0,30.0,4
2001248N23125,NARI,2001-09-16 06:00:00,25.4,122.6,75,90.0,954.0,110.0,110.0,100.0,100.0,30.0,4
2001248N23125,NARI,2001-09-16 09:00:00,25.2,122.4,46,88.0,956.0,110.0,110.0,105.0,105.0,30.0,4
2001248N23125,NARI,2001-09-16 12:00:00,25.1,122.2,23,85.0,958.0,110.0,110.0,110.0,110.0,30.0,4
2001248N23125,NARI,2001-09-16 15:00:00,24.9,121.9,10,75.0,967.0,100.0,100.0,73.0,73.0,25.0,4
2001248N23125,NARI,2001-09-16 18:00:00,24.6,121.6,0,65.0,976.0,90.0,90.0,35.0,35.0,20.0,3
2001248N23125,NARI,2001-09-16 21:00:00,24.4,121.4,0,55.0,984.0,90.0,90.0,35.0,35.0,28.0,3
2001248N23125,NARI,2001-09-17 00:00:00,24.2,121.3,0,45.0,991.0,90.0,90.0,35.0,35.0,35.0,2
2001248N23125,NARI,2001-09-17 03:00:00,24.0,121.3,0,45.0,991.0,90.0,90.0,43.0,43.0,35.0,2
2001248N23125,NARI,2001-09-17 06:00:00,23.8,121.3,0,45.0,991.0,90.0,90.0,50.0,50.0,35.0,2
2001248N23125,NARI,2001-09-17 09:00:00,23.8,121.3,0,40.0,994.0,,,,,,2
2001248N23125,NARI,2001-09-17 12:00:00,23.7,121.4,0,35.0,997.0,,,,,,2
2001248N23125,NARI,2001-09-17 15:00:00,23.6,121.3,0,35.0,997.0,,,,,,2
2001248N23125,NARI,2001-09-17 18:00:00,23.6,121.3,0,35.0,997.0,,,,,35.0,2
2001248N23125,NARI,2001-09-17 21:00:00,23.5,121.3,0,35.0,997.0,,,,,35.0,2
2001248N23125,NARI,2001-09-18 00:00:00,23.5,121.2,0,35.0,997.0,,,,,35.0,2
2001248N23125,NARI,2001-09-18 03:00:00,23.4,121.1,0,35.0,997.0,,,,,43.0,2
2001248N23125,NARI,2001-09-18 06:00:00,23.3,120.9,0,35.0,997.0,,,,,50.0,2
2001248N23125,NARI,2001-09-18 09:00:00,23.3,120.8,0,35.0,997.0,,,,,50.0,2
2001248N23125,NARI,2001-09-18 12:00:00,23.2,120.7,0,35.0,997.0,,,,,50.0,2
2001248N23125,NARI,2001-09-18 15:00:00,22.9,120.2,0,33.0,999.0,,,,,50.0,2
2001248N23125,NARI,2001-09-18 18:00:00,22.7,119.8,42,30.0,1000.0,,,,,50.0,2
2001248N23125,NARI,2001-09-18 21:00:00,22.6,119.5,75,30.0,1000.0,,,,,50.0,2
2001248N23125,NARI,2001-09-19 00:00:00,22.6,119.4,85,30.0,1000.0,,,,,50.0,2
2001248N23125,NARI,2001-09-19 03:00:00,22.5,119.1,117,30.0,1000.0,,,,,50.0,2
2001248N23125,NARI,2001-09-19 06:00:00,22.5,118.8,147,30.0,1000.0,,,,,50.0,2
2001248N23125,NARI,2001-09-19 09:00:00,22.5,118.6,167,30.0,1000.0,,,,,50.0,2
2001248N23125,NARI,2001-09-19 12:00:00,22.6,118.5,153,30.0,1000.0,,,,,50.0,2
2001248N23125,NARI,2001-09-19 15:00:00,22.6,118.2,137,38.0,996.0,35.0,35.0,20.0,20.0,50.0,2
2001248N23125,NARI,2001-09-19 18:00:00,22.7,117.9,115,45.0,991.0,70.0,70.0,40.0,40.0,50.0,2
2001248N23125,NARI,2001-09-19 21:00:00,22.7,117.4,90,50.0,988.0,70.0,70.0,40.0,40.0,50.0,2
2001248N23125,NARI,2001-09-20 00:00:00,22.8,116.9,42,55.0,984.0,70.0,70.0,40.0,40.0,50.0,3
2001248N23125,NARI,2001-09-20 03:00:00,22.9,116.1,0,55.0,984.0,78.0,78.0,50.0,50.0,50.0,3
2001248N23125,NARI,2001-09-20 06:00:00,22.9,115.4,0,55.0,984.0,85.0,85.0,60.0,60.0,50.0,2
