SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2001206N14134,TORAJI,2001-07-29 03:00:00,21.7,122.6,176,90.0,954.0,180.0,180.0,180.0,180.0,35.0,4
2001206N14134,TORAJI,2001-07-29 06:00:00,22.2,122.4,143,90.0,954.0,180.0,180.0,180.0,180.0,35.0,4
2001206N14134,TORAJI,2001-07-29 09:00:00,22.7,122.2,93,93.0,952.0,180.0,180.0,180.0,180.0,35.0,4
2001206N14134,TORAJI,2001-07-29 12:00:00,23.2,122.0,61,95.0,949.0,180.0,180.0,180.0,180.0,35.0,4
2001206N14134,TORAJI,2001-07-29 15:00:00,23.5,121.6,30,98.0,947.0,183.0,183.0,183.0,183.0,38.0,4
2001206N14134,TORAJI,2001-07-29 18:00:00,23.8,121.3,0,100.0,944.0,185.0,185.0,185.0,185.0,40.0,4
2001206N14134,TORAJI,2001-07-29 21:00:00,24.1,121.1,0,95.0,949.0,183.0,183.0,183.0,183.0,38.0,4
2001206N14134,TORAJI,2001-07-30 00:00:00,24.4,121.0,0,90.0,954.0,180.0,180.0,180.0,180.0,35.0,4
2001206N14134,TORAJI,2001-07-30 03:00:00,24.8,120.8,15,83.0,961.0,180.0,180.0,180.0,180.0,35.0,4
2001206N14134,TORAJI,2001-07-30 06:00:00,25.2,120.6,46,75.0,967.0,180.0,180.0,180.0,180.0,35.0,3
2001206N14134,TORAJI,2001-07-30 09:00:00,25.4,120.4,70,75.0,967.0,170.0,170.0,170.0,170.0,35.0,3
2001206N14134,TORAJI,2001-07-30 12:00:00,25.7,120.2,54,75.0,967.0,160.0,160.0,160.0,160.0,35.0,3
2001206N14134,TORAJI,2001-07-30 15:00:00,25.9,120.0,29,65.0,976.0,145.0,145.0,130.0,130.0,35.0,3
2001206N14134,TORAJI,2001-07-30 18:00:00,26.2,119.9,14,55.0,984.0,130.0,130.0,100.0,100.0,35.0,3
