SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2008268N12140,JANGMI,2008-09-28 00:00:00,22.8,123.2,187,130.0,926.0,125.0,120.0,105.0,110.0,20.0,6
2008268N12140,JANGMI,2008-09-28 03:00:00,23.4,122.8,136,123.0,932.0,125.0,120.0,105.0,110.0,23.0,6
2008268N12140,JANGMI,2008-09-28 06:00:00,23.9,122.4,82,115.0,937.0,125.0,120.0,105.0,110.0,25.0,6
2008268N12140,JANGMI,2008-09-28 09:00:00,24.2,121.8,15,100.0,948.0,125.0,120.0,105.0,110.0,30.0,6
2008268N12140,JANGMI,2008-09-28 12:00:00,24.2,121.4,0,85.0,959.0,125.0,120.0,105.0,110.0,35.0,5
2008268N12140,JANGMI,2008-09-28 15:00:00,24.4,121.4,0,85.0,959.0,125.0,120.0,105.0,110.0,35.0,5
2008268N12140,JANGMI,2008-09-28 18:00:00,24.8,121.3,0,75.0,967.0,125.0,120.0,105.0,110.0,35.0,4
2008268N12140,JANGMI,2008-09-28 21:00:00,25.2,121.2,11,68.0,973.0,115.0,98.0,90.0,105.0,35.0,4
2008268N12140,JANGMI,2008-09-29 00:00:00,25.6,121.1,53,60.0,978.0,105.0,75.0,75.0,100.0,35.0,3
2008268N12140,JANGMI,2008-09-29 03:00:00,26.1,121.2,102,58.0,980.0,105.0,75.0,75.0,100.0,35.0,3
2008268N12140,JANGMI,2008-09-29 06:00:00,26.5,121.5,126,55.0,982.0,105.0,75.0,75.0,100.0,35.0,3
2008268N12140,JANGMI,2008-09-29 09:00:00,26.9,121.7,119,53.0,984.0,103.0,88.0,88.0,100.0,35.0,3
2008268N12140,JANGMI,2008-09-29 12:00:00,27.2,122.0,121,50.0,985.0,100.0,100.0,100.0,100.0,35.0,3
2008268N12140,JANGMI,2008-09-29 15:00:00,27.5,122.4,118,48.0,987.0,105.0,108.0,95.0,88.0,43.0,3
2008268N12140,JANGMI,2008-09-29 18:00:00,27.8,122.8,130,45.0,989.0,110.0,115.0,90.0,75.0,50.0,3
2008268N12140,JANGMI,2008-09-29 21:00:00,28.3,123.3,161,45.0,989.0,113.0,120.0,95.0,80.0,50.0,3
2008268N12140,JANGMI,2008-09-30 00:00:00,28.7,123.9,192,45.0,989.0,115.0,125.0,100.0,85.0,50.0,2
2008268N12140,JANGMI,2008-09-30 21:00:00,29.9,129.4,163,35.0,996.0,105.0,125.0,85.0,80.0,,2
2008268N12140,JANGMI,2008-10-01 00:00:00,29.9,130.4,126,35.0,996.0,105.0,125.0,85.0,80.0,,9
