SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2019268N10155,MITAG,2019-09-30 03:00:00,22.2,122.9,183,78.0,974.0,200,190,190,280,30.0,4
2019268N10155,MITAG,2019-09-30 06:00:00,22.8,122.9,157,85.0,968.0,180,190,190,260,30.0,4
2019268N10155,MITAG,2019-09-30 09:00:00,23.7,122.9,135,88.0,965.0,180,190,190,250,21.0,4
2019268N10155,MITAG,2019-09-30 12:00:00,24.6,122.9,101,90.0,961.0,180,190,190,240,12.0,4
2019268N10155,MITAG,2019-09-30 15:00:00,25.4,122.7,83,88.0,964.0,185,190,170,200,14.0,4
2019268N10155,MITAG,2019-09-30 18:00:00,26.1,122.5,132,85.0,966.0,190,190,150,160,15.0,4
2019268N10155,MITAG,2019-09-30 21:00:00,26.8,122.3,175,78.0,972.0,190,190,130,160,18.0,4
2019268N10155,MITAG,2019-10-01 00:00:00,27.4,122.2,116,70.0,977.0,190,190,110,160,20.0,4
2019268N10155,MITAG,2019-10-01 03:00:00,28.0,122.2,67,68.0,979.0,200,180,105,160,25.0,4
2019268N10155,MITAG,2019-10-01 06:00:00,28.6,122.2,49,65.0,980.0,210,170,100,160,30.0,4
2019268N10155,MITAG,2019-10-01 09:00:00,29.4,122.3,36,63.0,982.0,210,170,100,155,30.0,4
2019268N10155,MITAG,2019-10-01 12:00:00,29.9,122.4,49,60.0,983.0,210,170,100,150,30.0,4
2019268N10155,MITAG,2019-10-01 15:00:00,30.3,122.5,80,58.0,984.0,195,155,95,140,30.0,4
2019268N10155,MITAG,2019-10-01 18:00:00,30.7,122.8,88,55.0,985.0,180,140,90,130,30.0,3
2019268N10155,MITAG,2019-10-01 21:00:00,31.3,123.3,139,50.0,989.0,165,135,85,110,30.0,3
2019268N10155,MITAG,2019-10-02 00:00:00,32.0,123.9,191,45.0,992.0,150,130,80,90,30.0,3
2019268N10155,MITAG,2019-10-02 06:00:00,33.3,124.7,139,45.0,991.0,130,120,70,90,40.0,2
2019268N10155,MITAG,2019-10-02 09:00:00,33.8,125.4,89,43.0,993.0,125,115,65,85,30.0,2
2019268N10155,MITAG,2019-10-02 12:00:00,34.4,126.3,14,40.0,995.0,120,110,60,80,20.0,2
2019268N10155,MITAG,2019-10-02 15:00:00,35.0,127.2,0,40.0,995.0,120,105,55,75,35.0,2
2019268N10155,MITAG,2019-10-02 18:00:00,35.8,128.2,0,40.0,995.0,120,100,50,70,50.0,2
2019268N10155,MITAG,2019-10-02 21:00:00,36.8,129.2,0,43.0,994.0,120,90,50,80,50.0,2
2019268N10155,MITAG,2019-10-03 00:00:00,37.6,130.0,70,45.0,992.0,120,80,50,90,50.0,2
2019268N10155,MITAG,2019-10-03 03:00:00,37.9,130.6,130,45.0,990.0,140,100,70,110,50.0,2
2019268N10155,MITAG,2019-10-03 06:00:00,38.1,131.3,195,45.0,988.0,160,120,90,130,50.0,9
2019268N10155,MITAG,2019-10-04 00:00:00,39.0,136.4,181,45.0,985.0,210,150,180,220,85.0,9
2019268N10155,MITAG,2019-10-04 03:00:00,39.0,137.4,179,45.0,986.0,175,135,150,185,85.0,9
2019268N10155,MITAG,2019-10-04 06:00:00,38.9,138.5,92,45.0,986.0,140,120,120,150,85.0,9
2019268N10155,MITAG,2019-10-04 09:00:00,38.8,139.6,8,40.0,990.0,100,100,80,105,85.0,9
2019268N10155,MITAG,2019-10-04 12:00:00,38.8,140.7,0,35.0,993.0,60,80,40,60,85.0,9
