SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2009215N20133,MORAKOT,2009-08-07 00:00:00,23.5,123.1,164,80.0,954.0,220,190,175,200,15.0,4
2009215N20133,MORAKOT,2009-08-07 03:00:00,23.5,122.7,124,80.0,959.0,220,190,175,185,18.0,4
2009215N20133,MORAKOT,2009-08-07 06:00:00,23.5,122.4,94,80.0,963.0,220,190,175,170,20.0,4
2009215N20133,MORAKOT,2009-08-07 09:00:00,23.5,122.1,65,80.0,962.0,210,180,163,163,20.0,4
2009215N20133,MORAKOT,2009-08-07 12:00:00,23.6,122.0,52,80.0,960.0,200,170,150,155,20.0,4
2009215N20133,MORAKOT,2009-08-07 15:00:00,23.8,121.7,20,68.0,973.0,200,170,150,155,20.0,4
2009215N20133,MORAKOT,2009-08-07 18:00:00,24.0,121.4,0,55.0,985.0,200,170,150,155,20.0,4
2009215N20133,MORAKOT,2009-08-07 21:00:00,24.3,121.3,0,55.0,984.0,200,170,150,155,28.0,4
2009215N20133,MORAKOT,2009-08-08 00:00:00,24.5,121.1,0,55.0,982.0,200,170,150,155,35.0,4
2009215N20133,MORAKOT,2009-08-08 03:00:00,24.7,120.9,0,50.0,982.0,200,195,145,140,35.0,4
2009215N20133,MORAKOT,2009-08-08 06:00:00,24.8,120.7,22,45.0,982.0,200,220,140,125,35.0,4
2009215N20133,MORAKOT,2009-08-08 09:00:00,24.9,120.6,35,45.0,980.0,200,225,135,133,40.0,4
2009215N20133,MORAKOT,2009-08-08 12:00:00,25.1,120.5,51,45.0,977.0,200,230,130,140,45.0,4
2009215N20133,MORAKOT,2009-08-08 15:00:00,25.2,120.4,64,45.0,983.0,200,230,130,140,45.0,4
2009215N20133,MORAKOT,2009-08-08 18:00:00,25.3,120.4,69,45.0,989.0,200,230,130,140,45.0,4
2009215N20133,MORAKOT,2009-08-08 21:00:00,25.6,120.4,73,45.0,990.0,163,153,100,110,45.0,4
2009215N20133,MORAKOT,2009-08-09 00:00:00,25.8,120.4,70,45.0,990.0,125,75,70,80,45.0,4
2009215N20133,MORAKOT,2009-08-09 03:00:00,26.0,120.2,49,43.0,989.0,125,75,70,80,53.0,4
2009215N20133,MORAKOT,2009-08-09 06:00:00,26.2,120.1,31,40.0,987.0,125,75,70,80,60.0,4
2009215N20133,MORAKOT,2009-08-09 09:00:00,26.5,119.9,9,38.0,990.0,125,75,70,80,55.0,4
2009215N20133,MORAKOT,2009-08-09 12:00:00,26.7,119.8,0,35.0,992.0,125,75,70,80,50.0,3
2009215N20133,MORAKOT,2009-08-09 15:00:00,26.9,119.7,0,25.0,1001.0, , , , ,50.0,3
2009215N20133,MORAKOT,2009-08-09 18:00:00,27.2,119.6,0,15.0,1010.0, , , , ,50.0,3
